Sample in Buffer,Sample in Window,TRIGGER,spi_rtl_sck_o,spi_rtl_io0_o,spi_rtl_io1_o,spi_rtl_ss_o_0_0,adc_ready,<const0>_1,<const0>_2,<const0>_3,dds_m_tvalid_out,dds_m_reset_out,<const0>_4,<const0>_5,<const0>_6,<const0>_7,<const0>_8,<const0>,ila_probe2[15:0],ila_probe3[15:0]
213,213,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32737,0000
214,214,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32737,0000
215,215,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32737,0000
216,216,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32737,0000
217,217,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32736,0000
218,218,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32736,0000
219,219,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32736,0000
220,220,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32735,0000
221,221,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32735,0000
222,222,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32735,0000
223,223,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32735,0000
224,224,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32734,0000
225,225,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32734,0000
226,226,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32734,0000
227,227,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32734,0000
228,228,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32733,0000
229,229,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32733,0000
230,230,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32733,0000
231,231,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32732,0000
232,232,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32732,0000
233,233,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32732,0000
234,234,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32731,0000
235,235,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32731,0000
236,236,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32731,0000
237,237,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32731,0000
238,238,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32730,0000
239,239,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32730,0000
240,240,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32730,0000
241,241,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32729,0000
242,242,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32729,0000
243,243,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32729,0000
244,244,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32728,0000
245,245,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32728,0000
246,246,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32728,0000
247,247,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32728,0000
248,248,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32727,0000
249,249,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32727,0000
250,250,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32727,0000
251,251,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32726,0000
252,252,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32726,0000
253,253,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32726,0000
254,254,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32725,0000
255,255,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32725,0000
256,256,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32725,0000
257,257,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32724,0000
258,258,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32724,0000
259,259,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32724,0000
260,260,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32723,0000
261,261,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32723,0000
262,262,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32723,0000
263,263,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32722,0000
264,264,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32722,0000
265,265,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32722,0000
266,266,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32721,0000
267,267,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32721,0000
268,268,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32721,0000
269,269,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32720,0000
270,270,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32720,0000
271,271,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32720,0000
272,272,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32719,0000
273,273,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32719,0000
274,274,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32719,0000
275,275,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32718,0000
276,276,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32718,0000
277,277,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32718,0000
278,278,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32717,0000
279,279,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32717,0000
280,280,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32716,0000
281,281,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32716,0000
282,282,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32716,0000
283,283,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32715,0000
284,284,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32715,0000
285,285,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32715,0000
286,286,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32714,0000
287,287,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32714,0000
288,288,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32714,0000
289,289,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32713,0000
290,290,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32713,0000
291,291,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32713,0000
292,292,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32712,0000
293,293,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32712,0000
294,294,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32711,0000
295,295,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32711,0000
296,296,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32711,0000
297,297,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32710,0000
298,298,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32710,0000
299,299,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32710,0000
300,300,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,32709,0000
